Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,107.910004,107.959999,107.449997,107.489998,1742800,101.873482
2012-12-28,108.010002,108.07,107.900002,108.059998,552200,102.413699
2012-12-27,107.540001,108.019997,107.519997,107.809998,446700,102.176762
2012-12-26,107.489998,107.639999,107.480003,107.589996,780000,101.968256
2012-12-24,107.550003,107.580002,107.50,107.519997,903400,101.758801
2012-12-21,107.739998,107.809998,107.610001,107.629997,499200,101.862908
2012-12-20,107.419998,107.580002,107.290001,107.339996,377100,101.588446
2012-12-19,107.269997,107.529999,107.220001,107.269997,675300,101.522197
2012-12-18,107.480003,107.540001,107.00,107.120003,846400,101.38024
2012-12-17,108.010002,108.029999,107.510002,107.540001,660100,101.777734
2012-12-14,108.00,108.150002,108.00,108.110001,380700,102.317191
2012-12-13,107.949997,108.099998,107.800003,107.870003,862900,102.090053
2012-12-12,108.419998,108.599998,108.080002,108.080002,1165600,102.2888
2012-12-11,108.510002,108.550003,108.419998,108.540001,734300,102.724151
2012-12-10,108.790001,108.82,108.650002,108.75,707500,102.922898
2012-12-07,108.690002,108.860001,108.629997,108.650002,515700,102.828257
2012-12-06,109.099998,109.150002,108.949997,108.959999,443700,103.121645
2012-12-05,108.919998,109.059998,108.870003,108.900002,505500,103.064862
2012-12-04,108.690002,108.82,108.660004,108.809998,479300,102.979681
2012-12-03,108.440002,108.639999,108.370003,108.620003,750400,102.799866
2012-11-30,108.900002,108.910004,108.760002,108.800003,557800,102.840567
2012-11-29,108.709999,108.860001,108.650002,108.82,814200,102.859469
2012-11-28,108.769997,108.870003,108.660004,108.709999,1057500,102.755493
2012-11-27,108.389999,108.580002,108.330002,108.57,579100,102.623162
2012-11-26,108.400002,108.519997,108.290001,108.32,1522400,102.386856
2012-11-23,108.199997,108.209999,108.129997,108.139999,466000,102.216715
2012-11-21,108.199997,108.279999,108.160004,108.199997,291500,102.273426
2012-11-20,108.639999,108.699997,108.360001,108.360001,970700,102.424666
2012-11-19,108.720001,108.82,108.68,108.809998,712300,102.850014
2012-11-16,108.940002,109.199997,108.910004,109.029999,578100,103.057965
2012-11-15,108.790001,109.07,108.769997,108.959999,1448500,102.9918
2012-11-14,108.699997,109.029999,108.669998,109.010002,1477300,103.039064
2012-11-13,108.989998,109.00,108.809998,108.980003,1608900,103.010708
2012-11-12,108.779999,108.870003,108.699997,108.849998,267900,102.887824
2012-11-09,108.709999,108.82,108.550003,108.779999,368200,102.821659
2012-11-08,108.269997,108.790001,108.150002,108.769997,514700,102.812204
2012-11-07,108.330002,108.540001,108.199997,108.290001,979800,102.3585
2012-11-06,107.790001,107.860001,107.370003,107.389999,486000,101.507795
2012-11-05,107.839996,107.989998,107.809998,107.879997,805400,101.970954
2012-11-02,107.290001,107.639999,107.25,107.620003,527200,101.725201
2012-11-01,107.639999,107.68,107.400002,107.529999,918300,101.640126
2012-10-31,107.690002,107.980003,107.650002,107.889999,728100,101.84335
2012-10-26,107.139999,107.459999,107.110001,107.449997,414800,101.428007
2012-10-25,106.650002,107.040001,106.589996,106.769997,437300,100.786117
2012-10-24,107.150002,107.32,107.089996,107.160004,682400,101.154266
2012-10-23,107.199997,107.389999,107.199997,107.389999,414600,101.371372
2012-10-22,107.029999,107.129997,106.879997,106.879997,760000,100.889953
2012-10-19,106.949997,107.339996,106.919998,107.239998,808100,101.229777
2012-10-18,107.080002,107.18,106.75,106.790001,1157500,100.805
2012-10-17,107.339996,107.379997,106.940002,106.980003,597300,100.984354
2012-10-16,107.93,107.93,107.660004,107.660004,585500,101.626244
2012-10-15,108.18,108.25,108.059998,108.169998,635000,102.107656
2012-10-12,108.209999,108.379997,108.110001,108.139999,427900,102.079339
2012-10-11,107.690002,108.139999,107.629997,108.129997,1217500,102.069897
2012-10-10,107.599998,108.07,107.529999,108.029999,318100,101.975503
2012-10-09,107.699997,107.949997,107.68,107.769997,387200,101.730073
2012-10-08,107.879997,108.010002,107.860001,107.989998,403700,101.937744
2012-10-05,107.760002,107.809998,107.57,107.639999,805200,101.607361
2012-10-04,108.32,108.419998,108.089996,108.129997,376700,102.069897
2012-10-03,108.440002,108.559998,108.300003,108.559998,938000,102.475798
2012-10-02,108.300003,108.559998,108.290001,108.449997,846500,102.371963
2012-10-01,108.410004,108.540001,108.230003,108.519997,1213500,102.438039
2012-09-28,108.580002,108.699997,108.360001,108.459999,612500,102.248308
2012-09-27,108.43,108.540001,108.32,108.459999,295400,102.248308
2012-09-26,108.489998,108.690002,108.43,108.690002,444600,102.465139
2012-09-25,107.949997,108.25,107.699997,108.239998,471900,102.040907
2012-09-24,107.739998,107.93,107.739998,107.839996,943800,101.663814
2012-09-21,107.260002,107.610001,107.230003,107.599998,682000,101.437562
2012-09-20,107.690002,107.739998,107.239998,107.370003,422300,101.220738
2012-09-19,107.360001,107.410004,107.18,107.309998,437200,101.16417
2012-09-18,107.220001,107.279999,107.010002,107.059998,578700,100.928487
2012-09-17,106.669998,106.959999,106.650002,106.790001,745300,100.673954
2012-09-14,106.980003,107.580002,106.419998,106.57,1050800,100.466553
2012-09-13,107.559998,107.769997,106.769997,107.580002,1458700,101.41871
2012-09-12,107.389999,107.800003,107.199997,107.269997,660700,101.12646
2012-09-11,107.93,107.949997,107.709999,107.800003,375200,101.626112
2012-09-10,108.040001,108.099998,107.82,108.00,1614100,101.814654
2012-09-07,108.529999,108.57,107.949997,107.949997,2748500,101.767515
2012-09-06,108.059998,108.080002,107.790001,107.809998,1376700,101.635534
2012-09-05,108.559998,108.68,108.440002,108.550003,782300,102.333158
2012-09-04,108.599998,108.830002,108.519997,108.589996,1200200,102.370861
2012-08-31,108.290001,108.989998,108.220001,108.989998,912700,102.6056
2012-08-30,108.349998,108.449997,108.279999,108.290001,642200,101.946607
2012-08-29,108.160004,108.160004,107.919998,108.089996,764700,101.758318
2012-08-28,108.190002,108.370003,108.139999,108.160004,615000,101.824225
2012-08-27,108.010002,108.129997,107.980003,108.120003,467400,101.786567
2012-08-24,108.07,108.139999,107.800003,107.839996,311500,101.522963
2012-08-23,107.860001,108.010002,107.699997,107.889999,440200,101.570037
2012-08-22,107.260002,107.699997,107.18,107.699997,730600,101.391164
2012-08-21,106.669998,106.889999,106.419998,106.870003,684500,100.609789
2012-08-20,106.699997,106.919998,106.68,106.779999,1000100,100.525058
2012-08-17,106.68,106.900002,106.68,106.720001,784300,100.468575
2012-08-16,106.879997,106.980003,106.43,106.589996,861400,100.346185
2012-08-15,107.139999,107.209999,106.800003,106.849998,934600,100.590957
2012-08-14,107.50,107.629997,107.389999,107.389999,642100,101.099326
2012-08-13,108.099998,108.190002,107.919998,107.919998,729500,101.598278
2012-08-10,108.139999,108.18,107.68,107.989998,466900,101.664178
2012-08-09,107.629997,107.830002,107.419998,107.68,833700,101.372339
2012-08-08,107.949997,108.059998,107.68,107.760002,862800,101.447654
